
6858.165297641937, 387.985385688673, Euclidean, GA, 200, 200, Bias Initialize, 0.5, 0.99, 0.05
6388.4263728634405, 233.31915598470536, Euclidean, GA, 200, 200, Bias Initialize, 0.5, 0.99, 0.05
5412.341857236894, 254.4915308296543, Euclidean, GA, 200, 200, Bias Initialize, 0.5, 0.99, 0.05
6724.4088791164095, 249.83167432535157, Euclidean, GA, 200, 200, Bias Initialize, 0.5, 0.99, 0.05
6205.101209088121, 292.18736562027004, Euclidean, GA, 200, 200, Bias Initialize, 0.5, 0.99, 0.05
5966.408157597709, 199.0184716285747, Euclidean, GA, 200, 200, Bias Initialize, 0.5, 0.99, 0.05
6670.12994010776, 285.3942960019503, Euclidean, GA, 200, 200, Bias Initialize, 0.5, 0.99, 0.05
6329.951101500283, 368.7223595337194, Euclidean, GA, 200, 200, Bias Initialize, 0.5, 0.99, 0.05
7057.7411783085, 353.09506519206576, Euclidean, GA, 200, 200, Bias Initialize, 0.5, 0.99, 0.05
6163.412418629889, 255.73653343752136, Euclidean, GA, 200, 200, Bias Initialize, 0.5, 0.99, 0.05
2901.652308132461, 399.89923731970765, Euclidean, GA, 200, 200, Random Initialize, 0.5, 0.99, 0.05
2362.613871785709, 343.26131492321946, Euclidean, GA, 200, 200, Random Initialize, 0.5, 0.99, 0.05
3053.9856123345708, 288.01667386511895, Euclidean, GA, 200, 200, Random Initialize, 0.5, 0.99, 0.05
2783.926308205842, 349.39388624724205, Euclidean, GA, 200, 200, Random Initialize, 0.5, 0.99, 0.05
2717.2872080175725, 317.88539781598814, Euclidean, GA, 200, 200, Random Initialize, 0.5, 0.99, 0.05
3238.214012200449, 411.4282624240127, Euclidean, GA, 200, 200, Random Initialize, 0.5, 0.99, 0.05
3182.58995419877, 262.35438032444966, Euclidean, GA, 200, 200, Random Initialize, 0.5, 0.99, 0.05
2061.7114374469766, 407.7070080345131, Euclidean, GA, 200, 200, Random Initialize, 0.5, 0.99, 0.05
3217.782605205836, 292.24828618226167, Euclidean, GA, 200, 200, Random Initialize, 0.5, 0.99, 0.05
3037.106554882709, 327.735096803294, Euclidean, GA, 200, 200, Random Initialize, 0.5, 0.99, 0.05
