
5606.7996528500735, 333.58910033416515, Euclidean, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6767.601848550022, 361.02980558244667, Euclidean, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6095.662114216718, 280.19956714060623, Euclidean, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6579.867146277527, 495.65442069496703, Euclidean, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6668.0001614267285, 278.05886572511645, Euclidean, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6278.754436364103, 394.4469786271696, Euclidean, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6748.612506993613, 292.52855460505003, Euclidean, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6467.210027701716, 294.87933847229743, Euclidean, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6292.562655851053, 305.5896908430408, Euclidean, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6014.046400125305, 238.78049607643052, Euclidean, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
7295.047986290422, 348.90703780394324, Manhattan, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
5969.354910311123, 287.94089306444147, Manhattan, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6032.128895988096, 395.6492682791335, Manhattan, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
7028.672402645791, 184.70500467937964, Manhattan, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
7092.603994032685, 342.093453696153, Manhattan, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
7026.239348208318, 439.95858984792744, Manhattan, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
7004.645393585086, 409.5563383420342, Manhattan, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
7516.511484135388, 376.9574966430256, Manhattan, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6645.467036189841, 456.0181687268836, Manhattan, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6832.92743439372, 228.44326689657126, Manhattan, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
5806.908496202012, 351.4601979710573, Chebyshev, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
7643.366365623928, 260.7821221539573, Chebyshev, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6433.584679922634, 440.3434210246939, Chebyshev, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
5266.463767158001, 334.4181229490197, Chebyshev, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
7030.08544834489, 412.0442630806374, Chebyshev, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
7458.598561022364, 344.95344675969795, Chebyshev, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
7427.568811724773, 347.9790082890685, Chebyshev, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6209.897496503181, 374.88756355322323, Chebyshev, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
7054.70253941042, 406.7171433970161, Chebyshev, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
7235.588710651347, 325.73111710268915, Chebyshev, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
