
6627.183571148341, 901.6009001589601, Euclidean, GA, 100, 10, Biased Initialize, 0.5, 0.99, 0.05
7232.4326851012265, 449.8306015297288, Euclidean, GA, 100, 50, Biased Initialize, 0.5, 0.99, 0.05
6952.623986132005, 284.25542993204874, Euclidean, GA, 100, 100, Biased Initialize, 0.5, 0.99, 0.05
6631.615173136481, 341.94327464766997, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
5454.107435941138, 286.8629403096377, Euclidean, GA, 100, 400, Biased Initialize, 0.5, 0.99, 0.05
6466.532111416275, 220.96645645874406, Euclidean, GA, 100, 800, Biased Initialize, 0.5, 0.99, 0.05
7173.815399683465, 254.03155687161916, Euclidean, GA, 100, 1000, Biased Initialize, 0.5, 0.99, 0.05
6963.611557551879, 907.1348706911898, Euclidean, GA, 100, 10, Biased Initialize, 0.5, 0.99, 0.05
6656.795151109433, 401.52878055168503, Euclidean, GA, 100, 50, Biased Initialize, 0.5, 0.99, 0.05
5916.509725308753, 331.2713872294699, Euclidean, GA, 100, 100, Biased Initialize, 0.5, 0.99, 0.05
6563.800565287292, 333.30995702242035, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
7045.058706439758, 315.0859471282411, Euclidean, GA, 100, 400, Biased Initialize, 0.5, 0.99, 0.05
5987.837018145321, 234.5670491063299, Euclidean, GA, 100, 800, Biased Initialize, 0.5, 0.99, 0.05
6670.734783498832, 273.10996839368727, Euclidean, GA, 100, 1000, Biased Initialize, 0.5, 0.99, 0.05
7149.589754635734, 882.1470891034772, Euclidean, GA, 100, 10, Biased Initialize, 0.5, 0.99, 0.05
6664.1769862594165, 434.11792924419876, Euclidean, GA, 100, 50, Biased Initialize, 0.5, 0.99, 0.05
6428.584760414786, 362.713077645267, Euclidean, GA, 100, 100, Biased Initialize, 0.5, 0.99, 0.05
6497.38603139073, 275.9709784621546, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6802.624339697439, 330.7187692785458, Euclidean, GA, 100, 400, Biased Initialize, 0.5, 0.99, 0.05
6676.53667349403, 262.12522690658193, Euclidean, GA, 100, 800, Biased Initialize, 0.5, 0.99, 0.05
6702.847795332983, 269.8743614746713, Euclidean, GA, 100, 1000, Biased Initialize, 0.5, 0.99, 0.05
6741.651688263358, 831.7773610208421, Euclidean, GA, 100, 10, Biased Initialize, 0.5, 0.99, 0.05
7107.4511534302965, 369.44130131876966, Euclidean, GA, 100, 50, Biased Initialize, 0.5, 0.99, 0.05
6383.952607935515, 407.6697368273566, Euclidean, GA, 100, 100, Biased Initialize, 0.5, 0.99, 0.05
6802.409129957158, 263.82643951286525, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6275.272872703077, 355.12152655031446, Euclidean, GA, 100, 400, Biased Initialize, 0.5, 0.99, 0.05
6138.478764195412, 205.0396175566648, Euclidean, GA, 100, 800, Biased Initialize, 0.5, 0.99, 0.05
6064.350519720481, 326.0339572118513, Euclidean, GA, 100, 1000, Biased Initialize, 0.5, 0.99, 0.05
6579.462960222438, 743.2970330390615, Euclidean, GA, 100, 10, Biased Initialize, 0.5, 0.99, 0.05
7015.09603850522, 366.29351023521775, Euclidean, GA, 100, 50, Biased Initialize, 0.5, 0.99, 0.05
6722.20283746591, 398.8392553180865, Euclidean, GA, 100, 100, Biased Initialize, 0.5, 0.99, 0.05
6908.432645406666, 287.68155449498306, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6567.520474366395, 180.32370129263217, Euclidean, GA, 100, 400, Biased Initialize, 0.5, 0.99, 0.05
7135.081356252474, 260.17135026141915, Euclidean, GA, 100, 800, Biased Initialize, 0.5, 0.99, 0.05
6757.94854774812, 263.24128779827777, Euclidean, GA, 100, 1000, Biased Initialize, 0.5, 0.99, 0.05
6383.126126482267, 993.8887147914145, Euclidean, GA, 100, 10, Biased Initialize, 0.5, 0.99, 0.05
6363.6177554734495, 460.0261093881948, Euclidean, GA, 100, 50, Biased Initialize, 0.5, 0.99, 0.05
6607.092041264077, 325.30569249551263, Euclidean, GA, 100, 100, Biased Initialize, 0.5, 0.99, 0.05
7059.010896549587, 452.3117127873056, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6713.868767253086, 318.1881507364344, Euclidean, GA, 100, 400, Biased Initialize, 0.5, 0.99, 0.05
6751.299620343386, 232.65781044801957, Euclidean, GA, 100, 800, Biased Initialize, 0.5, 0.99, 0.05
6974.760761235503, 318.6971386988153, Euclidean, GA, 100, 1000, Biased Initialize, 0.5, 0.99, 0.05
6514.094308835835, 730.7380722321469, Euclidean, GA, 100, 10, Biased Initialize, 0.5, 0.99, 0.05
6697.640210736119, 537.9149286613352, Euclidean, GA, 100, 50, Biased Initialize, 0.5, 0.99, 0.05
6870.545686056091, 353.1169792417058, Euclidean, GA, 100, 100, Biased Initialize, 0.5, 0.99, 0.05
6620.44886958595, 227.05794620909714, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
7027.068048159161, 316.2539347885479, Euclidean, GA, 100, 400, Biased Initialize, 0.5, 0.99, 0.05
6893.439231473069, 262.5179691190545, Euclidean, GA, 100, 800, Biased Initialize, 0.5, 0.99, 0.05
6770.873989834609, 220.06375179960224, Euclidean, GA, 100, 1000, Biased Initialize, 0.5, 0.99, 0.05
4843.179247069453, 712.3076724270736, Euclidean, GA, 100, 10, Biased Initialize, 0.5, 0.99, 0.05
6665.553498974217, 565.4415163668792, Euclidean, GA, 100, 50, Biased Initialize, 0.5, 0.99, 0.05
5994.879533320283, 248.15221440826747, Euclidean, GA, 100, 100, Biased Initialize, 0.5, 0.99, 0.05
6671.040929462369, 298.57745562458905, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6957.741237095028, 281.5210945065096, Euclidean, GA, 100, 400, Biased Initialize, 0.5, 0.99, 0.05
6809.565777019158, 262.0276902154781, Euclidean, GA, 100, 800, Biased Initialize, 0.5, 0.99, 0.05
6534.881847480843, 237.20365723219305, Euclidean, GA, 100, 1000, Biased Initialize, 0.5, 0.99, 0.05
6845.369753518745, 898.9703816906451, Euclidean, GA, 100, 10, Biased Initialize, 0.5, 0.99, 0.05
6996.581795423393, 704.5442126930586, Euclidean, GA, 100, 50, Biased Initialize, 0.5, 0.99, 0.05
6449.885002750991, 264.6192770952635, Euclidean, GA, 100, 100, Biased Initialize, 0.5, 0.99, 0.05
6675.387127720942, 311.6275938888406, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6610.659845139899, 342.86476593895986, Euclidean, GA, 100, 400, Biased Initialize, 0.5, 0.99, 0.05
6594.062651247244, 209.51443225199068, Euclidean, GA, 100, 800, Biased Initialize, 0.5, 0.99, 0.05
5841.236686768189, 199.14145456831554, Euclidean, GA, 100, 1000, Biased Initialize, 0.5, 0.99, 0.05
6720.89095139393, 589.9490404941253, Euclidean, GA, 100, 10, Biased Initialize, 0.5, 0.99, 0.05
6970.639058461621, 385.232798765207, Euclidean, GA, 100, 50, Biased Initialize, 0.5, 0.99, 0.05
6779.575700446133, 327.4070005299376, Euclidean, GA, 100, 100, Biased Initialize, 0.5, 0.99, 0.05
6549.384758569035, 303.73176832242996, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6641.316077288178, 334.1932409910507, Euclidean, GA, 100, 400, Biased Initialize, 0.5, 0.99, 0.05
6837.885938376208, 406.7912771447137, Euclidean, GA, 100, 800, Biased Initialize, 0.5, 0.99, 0.05
7185.096822558618, 242.8664211014956, Euclidean, GA, 100, 1000, Biased Initialize, 0.5, 0.99, 0.05
