
6912.284576864175, 1097.7464261689722, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.1, 0.05
6070.040895633969, 1174.3663254542814, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.3, 0.05
6466.838126135849, 1266.3594307952974, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.5, 0.05
6323.987234245842, 1030.2959812065549, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.7, 0.05
6962.656500498437, 999.8863256331844, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.9, 0.05
7044.390143865318, 219.23694977560444, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6674.423461558085, 1377.8789477229366, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.1, 0.05
6652.726018508543, 1261.8739453417177, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.3, 0.05
6979.979324295974, 1207.7236852254364, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.5, 0.05
6543.426891842248, 1050.604703118315, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.7, 0.05
7039.992975442951, 943.4137835835862, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.9, 0.05
6593.564816594079, 244.1327662343766, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6626.5980480076805, 1050.1199499458817, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.1, 0.05
7032.967630019537, 1199.5389211175502, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.3, 0.05
6921.867384829922, 1039.7278183642586, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.5, 0.05
7143.882515046651, 1156.3539832605313, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.7, 0.05
7119.939889598651, 801.3308331220749, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.9, 0.05
6518.517693801, 306.00567554460923, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6792.887144586239, 1312.7383980872128, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.1, 0.05
7006.39541940657, 1152.7587125731493, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.3, 0.05
5726.751453375865, 838.7702069769017, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.5, 0.05
6570.87985678297, 1190.0335862997501, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.7, 0.05
6924.736397420488, 949.5998622740836, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.9, 0.05
6872.752355233893, 251.33108032029094, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
7117.4034729917885, 1200.0199220471152, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.1, 0.05
6454.905266293357, 1264.4565674335483, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.3, 0.05
6572.592474045985, 1028.5597679193204, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.5, 0.05
7062.5602612017665, 1112.0238381199401, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.7, 0.05
6173.077560386362, 855.9856671686597, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.9, 0.05
6791.149241054291, 445.76776740729883, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6269.836304134379, 1223.582427945049, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.1, 0.05
7173.867041179578, 1238.1679194229393, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.3, 0.05
6430.572972897617, 1213.9068940520094, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.5, 0.05
6810.094980943373, 1177.0997668271605, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.7, 0.05
5995.363292224776, 817.8742754357731, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.9, 0.05
6505.611167538711, 236.55184522639595, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6094.9103997051925, 1126.4733394312134, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.1, 0.05
6153.5064533865225, 1202.8301903665365, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.3, 0.05
6831.562334191919, 1181.5433262730119, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.5, 0.05
6356.100286061876, 1102.5609855444966, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.7, 0.05
6404.541126435181, 998.5591767428493, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.9, 0.05
6610.969928063234, 243.0129069540499, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6258.315979100995, 1238.6527909984509, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.1, 0.05
6562.523425355431, 1215.8599211016658, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.3, 0.05
6652.585998952773, 1023.3714327674687, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.5, 0.05
6477.453391343599, 1129.9472648185726, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.7, 0.05
6605.87642703488, 1013.769997254789, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.9, 0.05
7114.67121643114, 369.6333765505566, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
