
7670.409563901585, 436.37757501542916, Euclidean, GA, 10, 200, Biased Initialize, 0.5, 0.99, 0.05
7417.324859429443, 428.72202355528543, Euclidean, GA, 20, 200, Biased Initialize, 0.5, 0.99, 0.05
7122.6610178371775, 322.52913245970535, Euclidean, GA, 40, 200, Biased Initialize, 0.5, 0.99, 0.05
6691.136555859162, 405.9899533569543, Euclidean, GA, 80, 200, Biased Initialize, 0.5, 0.99, 0.05
6479.331813249946, 256.3743377061139, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6484.065825947556, 273.4345460267621, Euclidean, GA, 200, 200, Biased Initialize, 0.5, 0.99, 0.05
6327.036122849499, 293.8940146101213, Euclidean, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6229.739428340463, 484.2536230099416, Euclidean, GA, 1000, 200, Biased Initialize, 0.5, 0.99, 0.05
5961.611769721371, 377.7347810902063, Euclidean, GA, 10, 200, Biased Initialize, 0.5, 0.99, 0.05
6340.775740146335, 393.21481647625455, Euclidean, GA, 20, 200, Biased Initialize, 0.5, 0.99, 0.05
7134.751530304332, 425.65169698869227, Euclidean, GA, 40, 200, Biased Initialize, 0.5, 0.99, 0.05
6595.625020338865, 261.8850193850377, Euclidean, GA, 80, 200, Biased Initialize, 0.5, 0.99, 0.05
6748.715208809055, 457.6010748762278, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6164.295525932473, 324.24857690096536, Euclidean, GA, 200, 200, Biased Initialize, 0.5, 0.99, 0.05
6092.972692737514, 523.6870250808548, Euclidean, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6280.298116890606, 500.84500955205283, Euclidean, GA, 1000, 200, Biased Initialize, 0.5, 0.99, 0.05
7944.689115795919, 453.645861023359, Euclidean, GA, 10, 200, Biased Initialize, 0.5, 0.99, 0.05
7211.277809963088, 556.8647816878346, Euclidean, GA, 20, 200, Biased Initialize, 0.5, 0.99, 0.05
6618.790049982688, 345.50927176455286, Euclidean, GA, 40, 200, Biased Initialize, 0.5, 0.99, 0.05
6309.0128024401865, 316.66672147284555, Euclidean, GA, 80, 200, Biased Initialize, 0.5, 0.99, 0.05
6735.623573270072, 325.5071717026515, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6529.53592137139, 207.9241931644154, Euclidean, GA, 200, 200, Biased Initialize, 0.5, 0.99, 0.05
5902.00666565963, 415.65670563769436, Euclidean, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6203.026942115454, 413.89383986247344, Euclidean, GA, 1000, 200, Biased Initialize, 0.5, 0.99, 0.05
7583.147937730742, 514.7481604635801, Euclidean, GA, 10, 200, Biased Initialize, 0.5, 0.99, 0.05
7288.956491451188, 611.7770367665686, Euclidean, GA, 20, 200, Biased Initialize, 0.5, 0.99, 0.05
6860.17584084986, 261.6127241495332, Euclidean, GA, 40, 200, Biased Initialize, 0.5, 0.99, 0.05
5988.178748443089, 367.3722970247713, Euclidean, GA, 80, 200, Biased Initialize, 0.5, 0.99, 0.05
5956.077434224446, 433.63235303859517, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6244.195529709234, 232.11771405821304, Euclidean, GA, 200, 200, Biased Initialize, 0.5, 0.99, 0.05
6718.88918619944, 491.42904769449774, Euclidean, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
5872.441084429512, 409.16876392144593, Euclidean, GA, 1000, 200, Biased Initialize, 0.5, 0.99, 0.05
7671.393685011369, 665.5771183824041, Euclidean, GA, 10, 200, Biased Initialize, 0.5, 0.99, 0.05
7527.158801749089, 606.3903836524389, Euclidean, GA, 20, 200, Biased Initialize, 0.5, 0.99, 0.05
6779.955820700323, 345.74999213549205, Euclidean, GA, 40, 200, Biased Initialize, 0.5, 0.99, 0.05
6943.376250391607, 271.9602156132428, Euclidean, GA, 80, 200, Biased Initialize, 0.5, 0.99, 0.05
6376.796551054789, 280.1637582954795, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6580.73641204461, 268.8812571420594, Euclidean, GA, 200, 200, Biased Initialize, 0.5, 0.99, 0.05
5691.204387070379, 529.9128491554317, Euclidean, GA, 400, 200, Biased Initialize, 0.5, 0.99, 0.05
6539.294925675857, 488.5963884115592, Euclidean, GA, 1000, 200, Biased Initialize, 0.5, 0.99, 0.05
6987.045494427297, 787.1034869487095, Euclidean, GA, 10, 200, Biased Initialize, 0.5, 0.99, 0.05
7585.50254645784, 477.7647341392771, Euclidean, GA, 20, 200, Biased Initialize, 0.5, 0.99, 0.05
