
5742.170046953305, 332.5142451718165, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.0
7019.214892877162, 255.0224475747322, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.01
7048.357115315463, 207.300267276156, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6714.908469450793, 282.2323863144419, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.1
6846.068207713656, 228.45246533294937, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.3
6328.208167994126, 607.2641548856345, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.5
6463.562287998254, 803.5048452028423, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.7
6673.751821782013, 683.1050045325991, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.9
6706.4739145133835, 250.37969146928987, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.0
6322.603720532309, 330.2775317840045, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.01
6629.343438635818, 298.6936580092863, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6712.237959215398, 303.8529267827996, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.1
6439.4440161783505, 314.49536793590374, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.3
7001.354924497302, 689.596653926844, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.5
6499.334114852889, 653.2464077860051, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.7
6438.749307785406, 740.8462124667387, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.9
6849.5567376293775, 355.11432190753635, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.0
6837.19107297171, 286.60055537039426, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.01
5999.115921156013, 215.30086491332176, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
5773.694597322464, 337.41205265473155, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.1
6334.83560747896, 292.43955339568157, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.3
6636.186272311762, 713.5324342444819, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.5
6818.6374933073375, 772.205893177624, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.7
6938.209008945149, 830.6471267104552, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.9
6611.574162966483, 229.06832083366422, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.0
6819.40400678648, 273.5126598344824, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.01
6713.4123891255795, 364.7440924113841, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6946.4642117886615, 387.33655688988915, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.1
6879.518518376675, 265.7287207088157, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.3
6180.0660296440965, 692.5137747253036, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.5
6463.618811429705, 686.4431766467283, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.7
6839.365161316097, 847.6251233114806, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.9
6266.758253764404, 310.38370110512886, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.0
6773.450835714137, 353.6898032201176, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.01
6642.099488723119, 346.3931945162117, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
7093.725452692784, 348.1905199816111, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.1
6512.132539378064, 422.6706139736661, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.3
6113.234205329805, 631.4755649768541, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.5
6160.312653742467, 718.8623108109489, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.7
6676.090995105534, 883.7392285423467, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.9
6756.749816541175, 243.71849459587096, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.0
7118.509141084693, 354.8546900745673, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.01
7043.823193683804, 296.56390118467306, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6673.53777395648, 240.86276785199016, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.1
6616.512038414272, 357.9956018659218, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.3
5799.913904524467, 705.0452430411307, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.5
6793.4742092605675, 779.5253835750779, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.7
6563.199824121253, 716.005538028241, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.9
6669.555094465843, 356.42853065149967, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.0
6752.575680030993, 393.5847257632504, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.01
6378.835863322001, 317.59373586038726, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6631.82585121102, 256.417245043742, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.1
6522.928174436419, 504.3104529845944, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.3
6964.979765340887, 554.6721515442706, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.5
6807.954940066994, 873.8565587897061, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.7
6777.488039080596, 777.9771740972859, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.9
7142.212806601846, 284.5960295839791, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.0
7208.9008093087705, 293.6984992466513, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.01
6382.797158276743, 269.709616274247, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6996.673241188618, 233.3040558248642, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.1
6733.312672478481, 280.1249450251776, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.3
6951.993343023806, 608.1246110132946, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.5
7172.679854715189, 697.3402190089505, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.7
6307.517907108439, 757.2384570296583, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.9
7085.828281608177, 319.2185208325953, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.0
7210.326189455929, 299.0819269697718, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.01
6949.200506228775, 386.6748136406997, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6769.561828159039, 321.97012104872863, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.1
6528.208927762332, 575.624239313969, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.3
6952.739646804752, 662.0445763848487, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.5
6912.3807544119945, 779.3735859952394, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.7
6771.658659099747, 906.4712835568108, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.9
6783.148751995626, 229.25922672481414, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.0
7083.93853254981, 394.2989862518229, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.01
6833.198055113225, 306.7054346108065, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.05
6564.331760486334, 351.94585390298425, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.1
6868.86483061096, 301.3894294984642, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.3
6588.604232830009, 687.7551513364314, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.5
6683.591685888908, 739.7822799401442, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.7
6828.4148633861805, 804.3117764562655, Euclidean, GA, 100, 200, Biased Initialize, 0.5, 0.99, 0.9
